DDCTransactionId728D20674D656BF3D05EAA97446DD98C_12, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5C9F_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.03-21.12.02, Duration=12.495216, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_18, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__0DEE01AFDCD63EDCE050864E9B2048808D3D7B82, StartTime=2016.04.03-21.12.02, HierarchicalDDC=, DataSize=33031, Duration=0.042811, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_19, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__60C01A3D2DE5A93AFF7EF8C568AEB262FC04DA19, StartTime=2016.04.03-21.12.02, HierarchicalDDC=, DataSize=8455, Duration=0.229210, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId728D20674D656BF3D05EAA97446DD98C_13, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E804_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.03-21.12.02, Duration=4.658144, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId994A349F4FB98FDBDD206CA7973C931F_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_55809E694EE7DB292235CC917A5C5__581C558B12F92DA8D70F4F628DF65CDCF5AECBC8, StartTime=2016.04.03-21.12.02, HierarchicalDDC=, DataSize=3860, Duration=0.029705, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_20, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__A1D8A03E2549AA9BBB14D25D58C22DB5DF625B64, StartTime=2016.04.03-21.12.02, HierarchicalDDC=, DataSize=16647, Duration=0.031453, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_21, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7BC0404946D77A8C093A10AE0677E__AFBD176B0024CACEDD89C5FD04DBA1FA2128794D, StartTime=2016.04.03-21.12.02, HierarchicalDDC=, DataSize=6309, Duration=0.021260, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId728D20674D656BF3D05EAA97446DD98C_14, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC4F2_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.03-21.12.02, Duration=44.684898, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_22, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__75915B35B64D0748F43AA1CFEFA6A33478BFF803, StartTime=2016.04.03-21.12.02, HierarchicalDDC=, DataSize=65799, Duration=0.064075, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_23, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_3A78BEB040043019A4DB61AD1C6AC__2A64CDF4F42A58D87EDA3946300B893AACC7FC54, StartTime=2016.04.03-21.12.02, HierarchicalDDC=, DataSize=16647, Duration=0.040483, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
